Study,Sex,MassChange,DDLat,WTemp,Source
1,Females,10.2,58,-2.4,Lund
2,Females,8.7,57.7,-1.7,Stockholm
3,Females,11.2,58,-1.7,Stockholm
4,Females,9.4,57.9,-1.7,Lund
5,Females,6.2,59.8,-4.2,Stockholm
6,Females,10,61.6,-5.6,Lund
7,Females,14.1,62,-8.1,Gothenburg
8,Females,12.2,62.7,-7.7,Gothenburg
9,Females,16.2,64,-7.6,Stockholm
12,Females,13.6,65.5,-9.3,Stockholm
13,Females,14.5,66,-11.3,Lund
14,Females,15,66,-11.9,Lund
1,Males,18.6,58,-2.4,Gothenburg
2,Males,19.1,57.7,-1.7,Stockholm
3,Males,19.5,58,-1.7,Gothenburg
4,Males,18.5,57.9,-1.7,Stockholm
5,Males,18.8,59.8,-4.2,Gothenburg
6,Males,25.5,61.6,-5.6,Lund
7,Males,27,62,-8.1,Stockholm
8,Males,23.8,62.7,-7.7,Lund
9,Males,29.8,64,-7.6,Stockholm
12,Males,27.5,65.5,-9.3,Gothenburg
13,Males,26.6,66,-11.3,Lund
14,Males,30.6,66,-11.9,Stockholm
